Time;A;B;Labels
2020-02-26T17:56:45+01:00;0;3.635.074.964.649.240;-1
2020-02-26T17:57:00+01:00;0.02222222222222222;3.635.087.719.298.240;-1
2020-02-26T17:57:15+01:00;577.764.938.556.921;45.403.508.771.929.800;1
2020-02-26T17:57:30+01:00;5.8;3.638.583.724.267.630;-1
2020-02-26T17:57:45+01:00;11.511.111.111.111.100;4.543.859.649.122.800;1
2020-02-26T17:58:00+01:00;57.555.555.555.555.500;4.543.843.705.811.550;1
2020-02-26T17:58:15+01:00;5.733.333.333.333.330;4.543.859.649.122.800;1
2020-02-26T17:58:30+01:00;0;36.420.285.888.718.100;-1
2020-02-26T17:58:45+01:00;0;3.638.583.724.267.630;-1
2020-02-26T17:59:00+01:00;0.0666681481810707;27.473.780.609.756.500;-1
2020-02-26T17:59:15+01:00;0.06667407489721079;27.473.491.414.095.300;-1
2020-02-26T17:59:30+01:00;0.06666814818107068;27.473.780.609.756.500;-1
2020-02-26T17:59:45+01:00;577.764.938.556.921;36.596.491.228.070.100;1
2020-02-26T18:00:00+01:00;11.533.589.635.325.200;4.568.437.082.235.370;1
2020-02-26T18:00:15+01:00;11.533.333.333.333.300;4.564.928.297.994.020;1
2020-02-26T18:00:30+01:00;11.488.633.585.920.300;456.840.502.314.027;1
2020-02-26T18:00:45+01:00;5.844.574.323.873.860;4.575.454.650.718.070;1
2020-02-26T18:01:00+01:00;5.844.444.444.444.440;4.575.438.596.491.220;1
2020-02-26T18:01:15+01:00;0.11111604960220454;4.575.454.650.718.070;-1
2020-02-26T18:01:30+01:00;0.02222123461179503;4.578.931.301.995.430;-1
2020-02-26T18:01:45+01:00;5.822.351.607.813.500;5.491.247.337.709.950;1
2020-02-26T18:02:00+01:00;5.844.314.570.787.310;4.585.981.003.442.110;1
2020-02-26T18:02:15+01:00;5.955.687.904.175.640;4.603.508.771.929.820;1
2020-02-26T18:02:30+01:00;0.17777777777777776;37.017.673.746.223.600;-1
2020-02-26T18:02:45+01:00;608.902.420.053.779;4.638.629.043.010.820;1
2020-02-26T18:03:00+01:00;5.955.555.555.555.550;463.859.649.122.807;1
2020-02-26T18:03:15+01:00;11.822.222.222.222.200;5.568.557.824.227.260;1
2020-02-26T18:03:30+01:00;5.888.627.172.125.680;5.568.421.052.631.570;1
2020-02-26T18:03:45+01:00;11.755.555.555.555.500;64.841.877.747.797.300;1
2020-02-26T18:04:00+01:00;5.888.888.888.888.880;6.487.764.826.419.830;1
2020-02-26T18:04:15+01:00;5.889.019.755.994.570;6.487.719.298.245.610;1
2020-02-26T18:04:30+01:00;0.04444444444444444;5.578.947.368.421.050;-1
2020-02-26T18:04:45+01:00;5.910.848.406.737.470;5.599.980.350.946.130;1
2020-02-26T18:05:00+01:00;5.911.242.472.054.930;5.600.019.649.191.750;1
2020-02-26T18:05:15+01:00;5.888.888.888.888.880;4.694.753.314.923.910;1
2020-02-26T18:05:30+01:00;0;4.677.176.571.310.270;-1
2020-02-26T18:05:45+01:00;0;4.677.176.571.310.270;-1
2020-02-26T18:06:00+01:00;0.0222227160603569;4.680.701.754.385.960;-1
2020-02-26T18:06:15+01:00;59.111.111.111.111.100;5.607.037.217.674.440;1
2020-02-26T18:06:30+01:00;59.111.111.111.111.100;4.691.195.149.507.720;-1
2020-02-26T18:06:45+01:00;11.755.033.109.639.500;5.614.015.389.419.680;1
2020-02-26T18:07:00+01:00;5.887.972.981.980.580;55.963.537.737.669.500;1
2020-02-26T18:07:15+01:00;5.889.019.755.994.570;5.592.962.831.709.360;1
2020-02-26T18:07:30+01:00;5.889.019.755.994.570;5.582.436.552.854.200;-1
2020-02-26T18:07:45+01:00;5.934.388.335.704.120;5.593.002.080.709.050;-1
2020-02-26T18:08:00+01:00;5.933.201.484.411.450;4.663.125.171.051.430;-1
2020-02-26T18:08:15+01:00;0.06666518521810627;4.663.157.894.736.840;-1
2020-02-26T18:08:30+01:00;0;3.736.828.993.582.470;-1
2020-02-26T18:08:45+01:00;5.889.019.755.994.570;4.663.141.532.836.720;1
2020-02-26T18:09:00+01:00;588.915.062.891.684;4.663.174.256.751.770;1
2020-02-26T18:09:15+01:00;11.755.816.795.928.700;5.585.964.912.280.700;1
2020-02-26T18:09:30+01:00;5.866.797.039.934.220;4.656.173.025.775.610;1
2020-02-26T18:09:45+01:00;5.888.758.027.599.380;465.963.277.321.834;1
2020-02-26T18:10:00+01:00;0.02222222222222222;4.659.649.122.807.010;1
2020-02-26T18:10:15+01:00;5.888.758.027.599.380;5.585.964.912.280.700;-1
2020-02-26T18:10:30+01:00;5.866.797.039.934.220;5.586.004.112.309.550;-1
2020-02-26T18:10:45+01:00;1.171.111.111.111.110;6.505.240.332.490.060;1
2020-02-26T18:11:00+01:00;5.866.536.299.193.350;5.578.927.793.235.810;1
2020-02-26T18:11:15+01:00;1.171.059.064.041.590;6.501.754.385.964.910;1
2020-02-26T18:11:30+01:00;5.866.666.666.666.660;5.575.458.159.502.310;-1
